,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
34,-0.6249,2018-04-09 09:55:38,0.177,0.823,0.0,34,"RT @VictoriaLIVE: Children as young as 3 years old should have lessons to tackle gang violence - our debate panel suggests.

https://t.co/G…",@BBCNews
35,-0.4767,2018-04-09 09:50:03,0.344,0.48,0.176,35,Cassie Hayes: Man admits murdering travel agent https://t.co/dYiJhHJjMm,@BBCNews
36,-0.9153,2018-04-09 09:35:49,0.41,0.59,0.0,36,"RT @VictoriaLIVE: A devastated mum describes the reality of knife crime - the heartbroken families left behind.

See our film &gt;&gt; https://t.…",@BBCNews
37,0.3595,2018-04-09 09:33:01,0.0,0.898,0.102,37,"RT @BBCSport: World record alert! 🚨

With her first throw, Holly Robinson sets a new record of 43.32m in the women's F47 javelin.

The prev…",@BBCNews
38,0.5859,2018-04-09 09:32:57,0.0,0.833,0.167,38,"RT @BBCSport: 🥈 It's silver for Sarah-Jane Perry.

What a nail-biting finish to an amazing match. 

Joelle King becomes New Zealand's first…",@BBCNews
39,-0.765,2018-04-09 09:02:24,0.452,0.548,0.0,39,One man hurt after 'partial building collapse' in Aberdeen https://t.co/7SblVoVGzo,@BBCNews
40,0.7959,2018-04-09 08:57:32,0.0,0.738,0.262,40,"RT @BBCSportWales: A first gymnastics medal for Wales at the Gold Coast!

Latalia Bevan wins silver in the women's floor exercise

More her…",@BBCNews
41,0.3595,2018-04-09 08:57:14,0.0,0.884,0.116,41,"RT @BBCSport: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 It's bronze for England!

The men's table tennis team join the women in claiming bronze.

#GC2018 https://t.co/NwnVMx…",@BBCNews
42,-0.6124,2018-04-09 08:11:46,0.417,0.583,0.0,42,Toddler dies and mother critical in Coventry crash https://t.co/tNZIbd0O8A,@BBCNews
43,-0.6486,2018-04-09 08:11:46,0.381,0.619,0.0,43,Man shot dead by police in Romford https://t.co/tgCIVIwE8w,@BBCNews
44,-0.5859,2018-04-09 08:08:59,0.407,0.593,0.0,44,Man charged after pregnant mum attacked by burglar https://t.co/Jdj03Tqp2y,@BBCNews
45,0.872,2018-04-09 07:48:12,0.0,0.68,0.32,45,"RT @BBCSport: He's done it.

England's Nile Wilson wins his third gold medal of #GC2018.

The horizontal bar takes his medal tally to five…",@BBCNews
46,0.6115,2018-04-09 07:48:00,0.0,0.852,0.148,46,"RT @BBCSport: More success for England in the horizontal bar.

James Hall takes silver to take his tally to three medals for #GC2018. https…",@BBCNews
47,0.0,2018-04-09 07:37:11,0.0,1.0,0.0,47,"RT @BBCSport: 📢 More live sport coming up!

England are about to face Australia in the women's basketball.🏀

Watch all the LIVE action here…",@BBCNews
48,0.4767,2018-04-09 07:37:07,0.0,0.876,0.124,48,"RT @BBCSport: England claimed a bronze medal in the badminton mixed team event, seeing off Singapore to take a place on the podium.
More: h…",@BBCNews
49,0.0,2018-04-09 06:25:35,0.0,1.0,0.0,49,"RT @BBCSport: Commonwealth Games #GC2018

So far on Day 5 
England 🥇🥈🥈🥉🥉🥉
Scotland 🥈🥉
Wales 🥇🥉
Northern Ireland 

The home nations gymnasts…",@BBCNews
50,0.3612,2018-04-09 03:52:05,0.0,0.696,0.304,50,Harriet Harman accepts Tory MP Kemi Badenoch's hacking apology https://t.co/n3WPSFxiL9,@BBCNews
51,0.4939,2018-04-09 02:29:28,0.0,0.738,0.262,51,"Care savings limit in Wales is raised to £40,000 https://t.co/OTGLs9qHm6",@BBCNews
52,0.0,2018-04-09 02:26:43,0.0,1.0,0.0,52,Film urges CPR to the tune of Proclaimers' hit '500 miles' https://t.co/JGKv9NaCo2,@BBCNews
53,-0.743,2018-04-09 02:26:43,0.441,0.559,0.0,53,"Police cuts 'likely contributed' to violence rise, document says https://t.co/AeBmq1Ys9d",@BBCNews
54,-0.3818,2018-04-08 23:44:27,0.272,0.556,0.173,54,"Prostate cancer: Four in 10 cases diagnosed late, charity says https://t.co/JBseylXTTJ",@BBCNews
55,-0.7717,2018-04-08 18:48:06,0.489,0.511,0.0,55,Two men dead after Edgware 'carbon monoxide leak' https://t.co/RLLdCv2WM7,@BBCNews
56,0.7003,2018-04-08 18:20:16,0.0,0.746,0.254,56,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",@BBCNews
57,-0.872,2018-04-08 18:11:22,0.553,0.447,0.0,57,"Hackney stabbing: Second stab death suspect 'at large', police say https://t.co/UBc0z1ANNG",@BBCNews
58,0.0,2018-04-08 15:51:58,0.0,1.0,0.0,58,RT @BBC_HaveYourSay: Are you coming to Windsor to watch the #RoyalWedding in May? Where are you travelling from? Would you consider yoursel…,@BBCNews
59,-0.4588,2018-04-08 15:46:10,0.231,0.769,0.0,59,Sunday Times' Rod Liddell 'mocks Wales' over Severn crossing renaming https://t.co/2hok9ikQQi,@BBCNews
60,-0.5106,2018-04-08 15:19:02,0.323,0.677,0.0,60,Fishermen protest over lack of control of UK waters post-Brexit https://t.co/jQRhEijGcD,@BBCNews
61,0.0,2018-04-08 14:36:51,0.0,1.0,0.0,61,UK wife-carrying contest takes place in Dorking https://t.co/wGxmIhLeg3,@BBCNews
62,0.7003,2018-04-08 13:00:04,0.0,0.746,0.254,62,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",@BBCNews
63,-0.1531,2018-04-08 12:13:48,0.127,0.873,0.0,63,Tony Blair believes NI deal 'still possible' but warns over Brexit https://t.co/2fh7fSuWfN,@BBCNews
64,-0.4019,2018-04-08 10:58:31,0.231,0.769,0.0,64,Man injured wrestling Derbyshire ram calls it 'public nuisance' https://t.co/jATTw9Hj9s,@BBCNews
65,0.6249,2018-04-08 10:53:09,0.0,0.579,0.421,65,Prince Charles reunited with fan who stole a kiss https://t.co/15fUOzfqr6,@BBCNews
66,0.0,2018-04-08 10:53:07,0.0,1.0,0.0,66,Angela Rayner 'frustrated' over Labour anti-Semitism action https://t.co/J60EFbhlMj,@BBCNews
67,-0.0258,2018-04-08 10:41:44,0.228,0.551,0.22,67,Arrests after Manchester City v Manchester United derby brawl https://t.co/zkSYfZJvlq,@BBCNews
68,0.0,2018-04-08 10:21:22,0.0,1.0,0.0,68,"RT @BBCNewsNI: Meet the County Down woman who's the Dr Dolittle of the ocean
https://t.co/79W82ys7Av https://t.co/JyW6A42ZJa",@BBCNews
69,-0.6124,2018-04-08 10:17:06,0.385,0.615,0.0,69,Sarah Montague 'incandescent with rage' over BBC Radio 4 pay https://t.co/A9PmIUzo8Z,@BBCNews
70,0.4344,2018-04-08 09:48:26,0.0,0.863,0.137,70,"RT @BBCSport: WHAT. A. SWIM!!! 🥇🥇🥇

Scotland's Duncan Scott takes the GOLD in the Men's 100m freestyle final! 

👉  https://t.co/WUhxF51QaY…",@BBCNews
71,0.0,2018-04-08 09:48:12,0.0,1.0,0.0,71,"RT @BBCSport: It's a Games record for Kylie Masse - and a Canadian one-two in the women's 200m backstroke.

Compatriot Taylor Ruck takes he…",@BBCNews
72,0.8016,2018-04-08 09:48:05,0.0,0.736,0.264,72,"RT @BBCSportWales: It's a silver medal for Wales' Laura Daniels!

New Zealand's Jo Edwards comes from behind to win the lawn bowls women's…",@BBCNews
73,0.0,2018-04-08 09:41:33,0.0,1.0,0.0,73,Government to crack down on 'rogue' estate agents https://t.co/s26Dob1oVY,@BBCNews
74,0.875,2018-04-08 09:37:10,0.0,0.607,0.393,74,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",@BBCNews
75,-0.886,2018-04-08 09:09:59,0.444,0.556,0.0,75,"Government is tackling violent crime says Communities Secretary @sajidjavid, announcing details for new Offensive W… https://t.co/cYLI53Cipe",@BBCNews
76,0.4019,2018-04-08 09:03:56,0.0,0.803,0.197,76,Commonwealth Games: Jamell Anderson and Georgia Jones get engaged on court https://t.co/b8Ot01unS2,@BBCNews
77,0.0772,2018-04-08 08:55:33,0.101,0.783,0.115,77,"""Targeting stop and search rather than just randomly going around saying you look like a gang member"" Shadow educat… https://t.co/y380ZOoN4N",@BBCNews
78,-0.4404,2018-04-08 08:35:04,0.266,0.734,0.0,78,Woman held after man stabbed in north London https://t.co/j8p0CvUSgP,@BBCNews
79,0.4588,2018-04-08 08:34:59,0.0,0.7,0.3,79,Olivier Awards: Could Hamilton get a record haul? https://t.co/soiJzm1Q77,@BBCNews
80,-0.4019,2018-04-08 08:03:28,0.162,0.738,0.1,80,"RT @BBCEngland: Hundreds of people have been ""sticking their tongues out at cancer"" in support of a four-year-old girl who was diagnosed wi…",@BBCNews
81,0.5707,2018-04-08 07:27:39,0.0,0.862,0.138,81,"RT @BBCSport: The first Home Nations gold of day four went to Scotland! 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏅

Congrats to the men's triple lawn bowls team 👏👉 https://t…",@BBCNews
82,0.8306,2018-04-08 06:21:59,0.0,0.73,0.27,82,"RT @BBCSport: 🥇 Northern Ireland win their first medal! 🥇 👏

Rhys McClenaghan takes GOLD in the men's pommel horse! 

At the age of 18! Inc…",@BBCNews
83,0.0,2018-04-08 06:21:36,0.0,1.0,0.0,83,"RT @BBCSport: Commonwealth Games #GC2018 

So far on Day 4 (07:00 BST)

England 🥇🥈🥈
Scotland 🥇🥉🥉
Wales 🥉
Northern Ireland

England's Nick M…",@BBCNews
84,0.4404,2018-04-08 04:44:33,0.0,0.734,0.266,84,"Corbyn is 'Kremlin's useful idiot', says Boris Johnson https://t.co/bCuDT2nL2O",@BBCNews
85,0.4019,2018-04-08 02:19:11,0.0,0.748,0.252,85,Sturgeon aims to boost Scots-China trade with visit https://t.co/tMOswK7WrA,@BBCNews
86,0.4215,2018-04-08 02:16:27,0.0,0.741,0.259,86,Saturday Night Takeaway: Applause for McPartlin at finale https://t.co/2VGXGDmyeI,@BBCNews
87,-0.6249,2018-04-08 01:58:58,0.339,0.661,0.0,87,'Enough police' to tackle violence rise - Amber Rudd https://t.co/eWiYkYydDg,@BBCNews
88,0.0,2018-04-08 00:51:53,0.0,1.0,0.0,88,Ipswich Hospital reviews policy after Ed Sheeran visit https://t.co/KsozKXQO16,@BBCNews
89,-0.5574,2018-04-07 23:42:10,0.325,0.556,0.119,89,Legal costs halt thousands of domestic violence cases https://t.co/FDgrK40hB2,@BBCNews
90,0.0,2018-04-07 23:42:10,0.0,1.0,0.0,90,Masters 2018: Patrick Reed leads Rory McIlroy by three into final round https://t.co/wCX3WX0tVj,@BBCNews
91,0.6369,2018-04-07 23:08:39,0.0,0.574,0.426,91,Peter Kay stage appearance delights Car Share fans https://t.co/PoEbeSjxlR,@BBCNews
92,0.4215,2018-04-07 18:33:29,0.0,0.641,0.359,92,Manchester City 2-3 Manchester United https://t.co/fe2a9S6RAn,@BBCNews
93,-0.6908,2018-04-07 17:59:28,0.402,0.598,0.0,93,Murder charge over Israel Ogunsola Hackney stabbing https://t.co/sOHZFOtzJs,@BBCNews
94,-0.126,2018-04-07 17:03:57,0.094,0.83,0.075,94,"RT @BBCSport: GOAL! Man City 2-0 Man Utd  

Ilkay Gundogan takes a turn in the box ad leaves David de Gea with no chance.

👉 https://t.co/N…",@BBCNews
95,-0.7003,2018-04-07 16:04:10,0.453,0.547,0.0,95,Man held for terror offences at Gatwick Airport https://t.co/iJFKKQpH8g,@BBCNews
96,0.0,2018-04-07 13:24:58,0.0,1.0,0.0,96,"RT @BBCSport: FT: Everton 0-0 Liverpool

The Toffees almost bagged a last-minute goal after coming into their own in the second half.

Mean…",@BBCNews
97,0.5719,2018-04-07 13:06:06,0.0,0.709,0.291,97,Commonwealth Games: England's Adam Peaty wins 100m breaststroke gold https://t.co/8IJPDVzIdY,@BBCNews
98,0.4767,2018-04-07 12:38:39,0.0,0.866,0.134,98,"RT @BBCSport: Day 3 - Commonwealth Games #GC2018 

Adam Peaty added to his gold medal haul. 
Scotland's Neil Fachie equalled the Scottish C…",@BBCNews
99,0.7003,2018-04-07 12:33:46,0.0,0.608,0.392,99,Peter Kay's Car Share: Fans praise finale at Blackpool screening https://t.co/MEStaVacWE,@BBCNews
0,0.6705,2018-04-09 21:21:49,0.0,0.756,0.244,0,Los Angeles is painting some of its roads white and the reasons why are pretty cool -- literally.… https://t.co/BOh7mk3KNH,@CBSNews
1,0.3612,2018-04-09 20:54:07,0.0,0.884,0.116,1,"""Whether this is related to the [special counsel] Mueller investigation or the Stormy Daniels case, it looks like t… https://t.co/mK9HYlN66B",@CBSNews
2,0.0,2018-04-09 20:37:01,0.0,1.0,0.0,2,"NEW: ""The decision by the US Attorney’s Office in New York to conduct their investigation using search warrants is… https://t.co/W3P2jNWtLH",@CBSNews
3,-0.4448,2018-04-09 20:35:49,0.128,0.872,0.0,3,"MORE: ""It is unclear whether this is stemming from the Mueller investigation, whether it has anything to do with th… https://t.co/B8Tn8dX26z",@CBSNews
4,0.0,2018-04-09 20:32:27,0.0,1.0,0.0,4,"""We did learn that the seizure by FBI and law enforcement was under a court authorized warrant that was obtained in… https://t.co/hDtpV7saE4",@CBSNews
5,0.0,2018-04-09 20:28:16,0.0,1.0,0.0,5,MORE: Law enforcement agents conducted searches today at the New York office and New York residence of Trump person… https://t.co/yxNf1Qoeil,@CBSNews
6,0.4019,2018-04-09 20:26:01,0.0,0.856,0.144,6,MORE: Federal prosecutors in Manhattan obtained search warrant for Michael Cohen's office after special counsel in… https://t.co/EX9UTJPiRi,@CBSNews
7,0.0,2018-04-09 20:19:29,0.0,1.0,0.0,7,"NEW: FBI agents raid office of Michael Cohen, Pres. Trump's personal lawyer, according to New York Times report.… https://t.co/gpvCqz388d",@CBSNews
8,-0.6369,2018-04-09 20:06:45,0.304,0.6,0.096,8,U.S. Ambassador Nikki Haley speaks at UN Security Council emergency meeting in wake of suspected chemical attack in… https://t.co/MnnI2tTN6A,@CBSNews
9,0.0,2018-04-09 20:00:02,0.0,1.0,0.0,9,"Sen. Tammy Duckworth (D-IL) became the first sitting U.S. senator to give birth while holding office, with the deli… https://t.co/KLjDFjxvAV",@CBSNews
10,-0.6369,2018-04-09 19:40:01,0.38,0.5,0.12,10,U.N. Security Council holds emergency meeting after suspected chemical attack in Syria. https://t.co/8AoewaCf7J https://t.co/6Dpp0lPDwR,@CBSNews
11,-0.6908,2018-04-09 19:30:02,0.251,0.749,0.0,11,Four teens charged with throwing a sandbag from a Toledo overpass and causing the death of a car passenger have bee… https://t.co/7LNjKtX21z,@CBSNews
12,-0.5994,2018-04-09 19:25:31,0.163,0.837,0.0,12,"Saddam Hussein's statue toppled over 15 years ago today, becoming one of the most iconic moments of the Iraq war. https://t.co/4tUb83yfeR",@CBSNews
13,0.0,2018-04-09 19:17:19,0.0,1.0,0.0,13,"""I'm not going to get ahead once again of any actions that he U.S. may or may not take, but I think the president h… https://t.co/m7LHjrJmoM",@CBSNews
14,-0.2732,2018-04-09 19:13:41,0.156,0.736,0.108,14,"Reporter: Did chief of staff John Kelly recommend that [EPA administrator] Pruitt be fired. 

@PressSec: I'm not go… https://t.co/DA7Ts9i09R",@CBSNews
